classifiers,precision,recall,fscore
Nearest Neighbors,[ 0.53  0.    0.52],[ 0.57  0.    0.5 ],[ 0.55  0.    0.51]
Linear SVM,[ 0.53  0.    0.52],[ 0.57  0.    0.5 ],[ 0.55  0.    0.51]
RBF SVM,[ 0.    0.    0.47],[ 0.  0.  1.],[ 0.    0.    0.64]
Gaussian Process,[ 0.5   0.    0.47],[ 0.25  0.    0.73],[ 0.33  0.    0.58]
Decision Tree,[ 0.55  0.    0.52],[ 0.43  0.    0.65],[ 0.48  0.    0.58]
Random Forest,[ 0.63  0.    0.56],[ 0.43  0.    0.77],[ 0.51  0.    0.65]
Neural Net,[ 0.54  0.    0.  ],[ 0.89  0.    0.  ],[ 0.68  0.    0.  ]
AdaBoost,[ 0.77  0.    0.55],[ 0.36  0.    0.81],[ 0.49  0.    0.66]
Naive Bayes,[ 0.55  0.    0.48],[ 0.43  0.    0.54],[ 0.48  0.    0.51]
QDA,[ 0.58  0.    0.63],[ 0.39  0.    0.46],[ 0.47  0.    0.53]
