Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Recommendation
1006032852,Sexy,Low,4.6,M,Summer,o-neck,sleevless,empire,null,chiffon,ruffles,animal,1
1212192089,Casual,Low,0,L,Summer,o-neck,Petal,natural,microfiber,null,ruffles,animal,0
1190380701,vintage,High,0,L,Automn,o-neck,full,natural,polyster,null,null,print,0
966005983,Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print,1
876339541,cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,0
1068332458,bohemian,Low,0,M,Summer,v-neck,sleevless,empire,null,null,null,print,0
1220707172,Casual,Average,0,XL,Summer,o-neck,full,null,cotton,null,null,solid,0
1219677488,Novelty,Average,0,free,Automn,o-neck,short,natural,polyster,broadcloth,lace,null,0
1113094204,Flare,Average,0,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid,1
985292672,bohemian,Low,0,free,Summer,v-neck,sleevless,natural,nylon,chiffon,null,null,1
1117293701,party,Average,5,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid,0
898481530,Flare,Average,0,free,Spring,v-neck,short,null,nylon,null,null,animal,0
957723897,sexy,Low,4.7,M,Winter,o-neck,threequarter,null,null,chiffon,lace,print,1
749031896,vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,jersey,null,animal,1
1055411544,Casual,Low,5,M,Summer,boat-neck,short,null,cotton,null,sashes,solid,0
1162628131,Casual,Low,0,free,Winter,boat-neck,full,null,other,other,lace,null,0
624314841,cute,Average,4.7,L,spring,o-neck,short,null,cotton,null,sashes,solid,1
830467746,bohemian,Medium,5,free,Automn,o-neck,full,natural,null,null,hollowout,patchwork,1
840857118,Brief,Average,0,M,Winter,peterpan-collor,threequarter,natural,cotton,null,null,patchwork,0
1113221101,Sexy,Average,5,M,Automn,o-neck,sleevless,empire,milksilk,null,null,null,1
861754372,Sexy,Average,4.5,L,Automn,o-neck,full,null,cotton,null,beading,solid,0
856178100,Casual,Low,4.3,M,Summer,o-neck,sleevless,natural,null,chiffon,null,solid,0
1122989777,Brief,Low,4,XL,Summer,v-neck,short,natural,cotton,null,pockets,solid,0
840516484,Sexy,Average,4.7,S,Summer,v-neck,sleevless,empire,cotton,null,sequined,solid,1
768517084,Sexy,Average,0,free,Automn,v-neck,sleevless,natural,polyster,null,lace,patchwork,0
1139843344,Sexy,Average,0,M,Automn,o-neck,sleevless,empire,cotton,broadcloth,null,print,0
1004212992,Sexy,Average,4.7,M,Spring,o-neck,sleevless,natural,null,null,null,solid,1
1235426503,Casual,Low,0,L,Summer,o-neck,sleevless,natural,cotton,jersey,null,print,0
942808364,cute,Low,4.3,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped,0
629131530,cute,Low,4.7,M,Spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot,1
851945460,Casual,Average,4.6,L,Automn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid,0
1150275464,Casual,Low,0,M,Spring,o-neck,sleevless,natural,silk,chiffon,applique,solid,1
1026634314,Casual,Average,4.4,L,Automn,o-neck,sleevless,natural,linen,chiffon,ruffles,animal,0
978773911,Brief,Average,4.3,L,Spring,o-neck,sleevless,empire,null,null,bow,solid,1
827791337,party,High,4.7,M,Spring,o-neck,threequarter,null,null,null,null,print,0
640823350,Casual,Low,4.6,free,Winter,boat-neck,full,natural,cotton,null,null,patchwork,1
801861988,vintage,Average,4.6,free,Winter,o-neck,full,natural,null,chiffon,null,print,1
1060207186,Brief,Average,0,M,Automn,o-neck,short,natural,cotton,null,null,print,0
1054679816,party,Average,4.6,M,Winter,o-neck,sleevless,natural,cotton,null,lace,solid,1
941190190,Casual,Average,4.5,M,Spring,v-neck,short,empire,cotton,null,button,solid,1
943844640,Brief,Average,5,free,Spring,v-neck,sleevless,natural,cotton,broadcloth,lace,solid,1
661795386,Brief,Low,4.4,L,Automn,o-neck,halfsleeve,natural,rayon,chiffon,sashes,solid,0
875312593,Casual,Average,4.8,M,Winter,o-neck,short,natural,lycra,broadcloth,applique,patchwork,0
971387676,Casual,Low,4.8,free,Spring,o-neck,sleevless,natural,cotton,null,null,print,0
1021185637,vintage,Average,4.8,M,Winter,o-neck,sleevless,natural,cotton,null,null,patchwork,1
1163826114,Sexy,Average,0,M,Winter,o-neck,short,natural,null,null,lace,solid,0
735635595,Sexy,Average,4.8,L,Spring,v-neck,threequarter,empire,polyster,null,lace,geometric,0
1175184188,Casual,Average,0,M,Summer,o-neck,halfsleeve,natural,cotton,chiffon,ruffles,dot,1
679415939,Casual,Low,4.7,M,Summer,o-neck,sleevless,empire,milksilk,null,null,solid,0
884147971,Casual,Medium,0,L,Winter,boat-neck,full,empire,null,null,null,solid,1
841203385,Sexy,Low,5,free,Summer,v-neck,sleevless,empire,null,chiffon,null,animal,1
1117997056,Casual,Low,4.3,free,Summer,o-neck,sleevless,null,milksilk,null,null,animal,0
1160536550,Casual,Average,0,L,Spring,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,solid,1
828623528,Casual,Average,4.6,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,solid,1
763708514,sexy,Average,4.5,M,Spring,o-neck,threequarter,natural,polyster,null,lace,geometric,0
1153442065,Novelty,Average,0,S,Winter,turndowncollor,full,natural,cotton,null,null,patchwork,0
743729613,Casual,Average,4.9,S,Winter,turndowncollor,full,natural,cotton,null,null,solid,1
1000493051,sexy,Low,4.6,L,Automn,o-neck,sleevless,natural,null,null,lace,solid,1
911085061,bohemian,Low,4.5,M,Summer,v-neck,sleevless,natural,polyster,null,null,print,1
1174854264,work,Average,0,M,Automn,slash-neck,sleevless,natural,polyster,null,bow,patchwork,0
1053296757,cute,High,0,M,Spring,v-neck,full,natural,rayon,null,null,solid,1
1033843327,Casual,Average,0,free,Spring,o-neck,short,natural,cotton,null,hollowout,plaid,0
1083779666,Casual,Average,5,M,Summer,o-neck,short,empire,polyster,chiffon,null,animal,0
746255172,Casual,Average,4.7,M,spring,o-neck,sleevless,natural,null,chiffon,sashes,solid,0
1100974555,Sexy,Low,4,S,Automn,o-neck,sleevless,empire,cotton,null,null,solid,1
1019134411,Casual,Average,5,M,Automn,v-neck,short,natural,cotton,broadcloth,beading,solid,0
1072477320,Casual,Low,0,free,Summer,v-neck,halfsleeve,natural,silk,broadcloth,applique,solid,0
638423913,Casual,Medium,4.5,S,Winter,o-neck,full,natural,polyster,null,null,patchwork,1
936425780,work,Average,4.8,L,Summer,v-neck,short,natural,polyster,null,hollowout,solid,0
1146088956,Casual,Medium,0,M,Automn,v-neck,short,empire,polyster,null,null,solid,0
864253055,bohemian,Average,5,free,Summer,v-neck,sleevless,natural,cotton,batik,null,print,1
1210582154,sexy,Low,0,M,Spring,v-neck,short,natural,polyster,satin,ruffles,solid,1
926480831,Sexy,Average,4.2,M,Winter,v-neck,sleevless,natural,cotton,flannael,null,solid,0
757260823,Casual,Low,4.8,free,Spring,o-neck,full,natural,cotton,worsted,lace,solid,0
630561922,Casual,Low,4.4,S,Automn,o-neck,sleevless,natural,polyster,null,null,solid,0
734061929,Casual,Low,4.7,L,Spring,o-neck,short,null,chiffonfabric,chiffon,bow,dot,0
842060995,Casual,Average,5,XL,Winter,boat-neck,full,null,cotton,null,null,geometric,1
1078431253,Casual,Low,0,free,Spring,v-neck,sleevless,null,cotton,null,null,print,0
939770391,Casual,Average,0,free,Spring,o-neck,sleevless,natural,null,chiffon,null,solid,0
943188872,bohemian,very-high,4.7,free,Winter,v-neck,sleevless,null,polyster,null,null,null,1
1130994272,Casual,Low,5,M,Summer,v-neck,sleevless,empire,polyster,chiffon,ruffles,animal,0
907117649,party,Average,4.7,M,Spring,v-neck,sleevless,natural,polyster,chiffon,hollowout,solid,0
967999477,Sexy,Low,5,free,Spring,o-neck,full,natural,cotton,worsted,null,striped,0
944656411,vintage,Low,4.6,M,Summer,o-neck,short,natural,null,chiffon,null,print,0
1096779299,Casual,Average,0,free,Winter,o-neck,halfsleeve,empire,polyster,chiffon,hollowout,solid,0
1036333255,Casual,low,4.9,L,Summer,boat-neck,short,null,null,chiffon,null,patchwork,1
1065316076,Casual,Low,0,S,Automn,o-neck,full,natural,null,null,beading,solid,1
995802744,Sexy,Average,4,S,Automn,v-neck,sleevless,null,rayon,chiffon,null,patchwork,1
1018110870,Sexy,Low,5,M,Automn,o-neck,full,natural,null,chiffon,lace,print,1
850586379,Brief,Average,4.6,M,Winter,peterpan-collor,threequarter,null,cotton,null,null,solid,0
1169895668,Casual,Average,0,L,Spring,boat-neck,sleevless,natural,cotton,null,applique,patchwork,1
688966772,Casual,Average,4.8,L,Winter,o-neck,short,natural,cotton,null,pockets,solid,1
1194626925,OL,Medium,0,M,Winter,mandarin-collor,halfsleeve,natural,cotton,null,sashes,solid,0
876708804,Sexy,Low,4.8,M,Spring,o-neck,halfsleeve,natural,silk,null,null,solid,0
1118628066,Casual,Medium,0,S,Spring,v-neck,full,null,null,null,null,animal,1
1027818824,Casual,Medium,0,M,Spring,v-neck,threequarter,natural,silk,chiffon,ruffles,solid,1
891103323,Casual,Average,0,M,Spring,o-neck,sleevless,natural,silk,null,null,print,0
1166855026,Casual,Average,0,free,Winter,v-neck,full,natural,null,chiffon,ruffles,print,0
1023850025,vintage,Low,4.8,S,Summer,o-neck,short,natural,null,chiffon,ruffles,print,0
805438829,Sexy,Low,4.8,L,Summer,v-neck,full,natural,cotton,jersey,applique,print,1
836788720,fashion,Average,4,free,Summer,open,full,null,cotton,null,sequined,solid,0
835787654,Casual,Average,4.7,L,Summer,v-neck,short,natural,null,null,null,print,1
1148457078,Casual,Low,0,free,Winter,o-neck,halfsleeve,natural,polyster,worsted,null,patchwork,1
887476609,bohemian,Low,4.8,free,Summer,o-neck,short,null,null,null,null,animal,1
535968075,work,Medium,4.6,L,Winter,sqare-collor,short,empire,cotton,null,Tiered,solid,0
892801580,vintage,Average,4.7,L,Summer,o-neck,short,natural,cotton,null,button,solid,0
732650169,cute,Low,4.7,M,Spring,o-neck,short,empire,polyster,chiffon,ruffles,dot,1
680070369,Casual,Low,4.6,free,Automn,o-neck,full,natural,cotton,null,null,solid,1
1002440915,Casual,Medium,0,free,Spring,o-neck,sleevless,natural,cotton,broadcloth,sequined,solid,1
737538048,Casual,Average,4.7,L,Automn,o-neck,halfsleeve,null,null,null,lace,null,0
1104450248,Sexy,Average,0,L,Automn,v-neck,sleevless,empire,null,chiffon,null,patchwork,0
797673346,Casual,Low,4.7,free,Winter,o-neck,sleevless,natural,cotton,jersey,null,solid,1
1039982741,Casual,Average,0,M,Automn,o-neck,short,empire,polyster,null,applique,print,0
829087315,cute,Average,4.8,L,Automn,slash-neck,sleevless,natural,null,chiffon,hollowout,solid,0
1032990258,party,Average,5,M,Spring,o-neck,halfsleeve,natural,null,null,null,null,1
939422280,cute,Average,4.3,L,Winter,o-neck,sleevless,natural,null,chiffon,null,solid,0
974746803,Casual,Average,4.5,L,Spring,o-neck,short,natural,cotton,chiffon,null,patchwork,0
1018130478,Casual,Low,4.7,L,Automn,o-neck,full,null,cotton,chiffon,lace,print,0
956758119,Casual,Low,4.5,free,Automn,v-neck,short,natural,silk,worsted,lace,solid,0
903426442,sexy,Average,3.6,L,Winter,v-neck,full,natural,polyster,woolen,beading,solid,1
861626197,work,Average,4.8,L,Winter,v-neck,short,natural,mix,broadcloth,lace,solid,0
1077015977,vintage,Average,0,free,Summer,o-neck,sleevless,null,null,null,null,null,0
817870237,Sexy,Low,4.6,free,Spring,o-neck,full,natural,null,null,lace,leopard,1
1078996836,Sexy,Low,0,free,Winter,v-neck,sleevless,empire,cotton,chiffon,null,solid,1
881530990,work,Average,4.6,L,Spring,o-neck,short,empire,cotton,jersey,null,patchwork,0
937046375,Casual,Average,4.4,M,Summer,o-neck,short,empire,null,null,lace,patchwork,0
870994067,cute,Low,4.9,M,Automn,o-neck,short,natural,chiffonfabric,chiffon,bow,dot,0
893330898,Sexy,Low,4.6,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid,0
